Operating Temperature (°C),Operating Pressure (Pa),Vibration Level (m/s²),Power Consumption (kW),Speed (RPM),Noise Level (dB),Maintenance Status,Time Since Last Maintenance (hours),Deviation from Expected Parameters,Historical Failure Data,Failure Code
41.95254015709299,3371.5210831246304,4.076440506047228,4.725662461262916,2170.568198961745,52.00681317312064,0,117.70071909301127,0.050169383291315484,1,none
48.60757465489678,1040.2547826243733,2.432811531244337,6.666564724359338,3266.0730970848726,47.85745077984829,1,856.1173411486967,-4.500994707246302,1,motor failure
44.110535042865756,2903.304783428891,2.6634643509611715,8.007258376254532,1549.6577056012954,34.11597545423976,0,111.04556365185225,-3.5144216060756572,1,blade damage
41.795327319875874,3835.0815637641945,1.3275508734441752,8.664020148551405,2398.8487389122297,51.151651898353975,1,645.8592807629719,1.725528206034685,0,none
36.94619197355619,1175.9017280963624,3.0647107823713147,8.347714423426574,1212.8655166476294,43.93176277786049,1,245.21756260971372,-0.232355572109344,0,none
45.835764522666246,4518.08593209492,1.584233562482192,2.4946937973407617,2516.2725751285107,75.7756402813001,1,449.1175442063304,0.9766278632277636,1,none
37.5034884505077,3080.3256665426925,2.9286916712606126,8.45550597253227,1456.6053828924419,36.69769799137568,1,573.0199230654362,-0.4172491578978317,1,none
55.67092003128319,1122.6441933028716,0.9314227663129424,1.527661529953949,3247.251647209184,38.620862517252306,0,919.6754595876499,4.255149725251341,1,none
58.54651042004117,1897.6544476833608,0.8813985524716782,2.8015361339551177,3566.374937582647,46.71061805268683,0,284.513760487612,3.2524872769079725,0,blade damage
35.33766075303111,4814.702785709253,2.1434457318407687,6.606340480593902,4948.366146706783,47.28160976011831,0,387.6948465282916,4.80144498972855,0,none
51.669001523306584,3329.2789322082212,2.1914156240416505,2.032232729022139,1780.55464903776,80.77829620176678,0,199.59577079121783,4.392329417135517,1,blade damage
41.15579679011618,1429.8902710752182,1.4137353980714416,6.430128355505801,1828.8085952098556,77.47701938702923,0,343.62163532750435,2.2869789866824117,1,none
42.72178244375729,2150.1780091222463,0.744824566796781,3.771691222272074,4789.678074359061,64.71813799231353,0,125.8118279219097,-4.474695789786185,0,blade damage
57.02386553170644,2826.8145034419367,0.2921316421480956,4.865199266391835,4458.563353827274,47.315320731602796,1,548.0833961454114,4.9910177665697315,1,motor failure
22.841442327915477,1083.8002770709218,0.22363595371029912,3.8363635310093023,3464.2161977488754,49.13270119265954,0,559.2316137890512,-0.2668130434134506,0,none
23.48517198806163,2646.4620544550353,1.430596421031731,1.6315621107841403,4365.628947000836,65.53309649895868,0,623.3731362154567,-4.390029643635666,0,blade damage
20.80873589761303,2957.8345417387927,2.3630818665934923,5.506828776297648,1838.768578885954,74.39199352588943,1,230.35237963790178,4.914233105026428,0,motor failure
53.30479382191752,1974.7115011249289,3.658592078400023,9.672394999553987,4496.115291453743,53.045883306506965,1,432.35565285415066,0.7037671762144324,1,blade damage
51.12627003799402,3354.5560011679463,2.426871333498644,6.5060501334411445,4469.230038698563,60.57372171866251,0,41.42908746895546,-0.40995977251029636,1,motor failure
54.800485929872764,4012.9604783687073,4.52984901523288,3.7002868445541277,1992.4489939202506,83.28198819196163,1,40.25668760753387,-4.802105691669367,1,motor failure
59.14473368931056,1943.336896422542,0.27257704241949465,9.605348507116172,3033.493257039519,68.98745140250584,0,309.4628583880534,-0.7159883054349123,0,blade damage
51.96634256866894,3481.999601119951,0.9852370455491083,4.5031352675700465,4719.097055564018,62.133007922514004,0,489.14295117455197,-3.167292528118808,1,motor failure
38.45917449011728,3558.488971854966,1.7587210145736993,7.277659604819592,3716.5999846699406,34.27334766851347,1,692.9740181623135,2.189489921540744,0,blade damage
51.22116705145822,4794.161204515364,2.9297313215191005,6.707015244301998,3642.076421282962,40.56091270667466,1,758.6734650146218,-4.921330974764243,0,blade damage
24.73097703475733,4113.1046691857755,4.278407173680318,9.576197632349663,3239.058402257464,42.0594950289374,1,401.7809800459199,0.3303568050661676,0,motor failure
45.59684085310096,4393.3810791600245,1.8159895645872248,9.231424250453532,2075.3262587730005,67.38889754713767,0,755.6064215953351,-4.562837816349019,0,blade damage
